lbr_brand_nm,snpsht_day,mth_nm,snpsht_yr,sku_cd,catg,subcatg,glance_view
Kellogg's,1,APRIL,2024,B08DNPFLGM,Grocery-Cereal & Muesli,Flakes,4532.29
Kellogg's,1,APRIL,2024,B095KB77HH,Grocery-Cereal & Muesli,Flakes,37.12
Kellogg's,1,APRIL,2024,B0B5D9KSLR,Grocery-Cereal & Muesli,Flakes,141.58
Kellogg's,1,APRIL,2024,B09BJQWJLW,Grocery-Cereal & Muesli,Granola Cereals,97.95
Kellogg's,1,APRIL,2024,B08D3MHTC6,Grocery-Cereal & Muesli,Flakes,92.6
Kellogg's,1,APRIL,2024,B08D3QJ535,Grocery-Cereal & Muesli,Flakes,48.81
Kellogg's,1,APRIL,2024,B08N1PMSL3,Grocery-Cereal & Muesli,Muesli,37.33
Kellogg's,1,APRIL,2024,B083JN1V1K,Grocery-Cereal & Muesli,Flakes,37.12
Kellogg's,1,APRIL,2024,B00TZIHC6I,Grocery-Cereal & Muesli,Flakes,6650.69
Kellogg's,1,APRIL,2024,B08D3NBP94,Grocery-Cereal & Muesli,Flakes,92.68
Kellogg's,1,APRIL,2024,B08D3PBLVB,Grocery-Cereal & Muesli,Flakes,300.02
Kellogg's,1,APRIL,2024,B004KSMM2M,Grocery-Cereal & Muesli,Flakes,3359.12
Kellogg's,1,APRIL,2024,B07QWY23DF,Grocery-Cereal & Muesli,Flakes,37.34
Kellogg's,1,APRIL,2024,B08DDZ8CMK,Grocery-Cereal & Muesli,Muesli,37.12
Kellogg's,1,APRIL,2024,B08D3MGKB5,Grocery-Cereal & Muesli,Muesli,1789.45
Kellogg's,1,APRIL,2024,B07RQ3BDQR,Grocery-Cereal & Muesli,Granola Cereals,38.44
Kellogg's,1,APRIL,2024,B07XBDN4HM,Grocery-Cereal & Muesli,Flakes,37.14
Kellogg's,1,APRIL,2024,B09BJRP8M2,Grocery-Cereal & Muesli,Flakes,37.12
Kellogg's,1,APRIL,2024,B09YHVR3FF,Grocery-Cereal & Muesli,Flakes,40.44
Kellogg's,1,APRIL,2024,B0BSLHJ2J4,Grocery-Cereal & Muesli,Granola Cereals,153.81
Kellogg's,1,APRIL,2024,B0BPX777JP,Grocery-Cereal & Muesli,Oats,14276.76
Kellogg's,1,APRIL,2024,B08N1QKSRS,Grocery-Cereal & Muesli,Flakes,292.82
Kellogg's,1,APRIL,2024,B08D3SKHXD,Grocery-Cereal & Muesli,Flakes,4539.11
Kellogg's,1,APRIL,2024,B0156LWWJE,Grocery-Cereal & Muesli,Muesli,76.19
Kellogg's,1,APRIL,2024,B01N10OQHI,Grocery-Cereal & Muesli,Flakes,9702.04
Kellogg's,1,APRIL,2024,B08D3N86N7,Grocery-Cereal & Muesli,Muesli,1994.59
Kellogg's,1,APRIL,2024,B07WZLX81X,Grocery-Cereal & Muesli,Flakes,2471.19
